"900.grid.export.type.xml", "XML"
"900.grid.export.type.csv", "CSV"
"900.menue.title", "Paketmanager"
"900.menue.child.manage-channels", "Channelverwaltung"
"900.menue.child.manage-packages", "Paketverwaltung"
"900.pear.exception", "Folgender PEAR Fehler ist auftreten: %s"
"100.legend.channel-information", "Channel Informationen"
"100.label.url", "Url"
"100.label.alias", "Alias"
"100.label.username", "Benutzername"
"100.label.password", "Passwort"
"100.label.confirmation", "Passwort bestätigen"
"101.title.channel-information", "Channel Informationen"
"101.label.channel-information", "Channel Informationen"
"102.label.save-channel", "Channel Speichern"
"102.label.delete-channel", "Channel Löschen"
"102.label.save-and-edit", "Speichern und weiter bearbeiten"
"102.header.edit-channel", "Channel '%s' bearbeiten"
"102.header.add-channel", "Neuen Channel hinzufügen"
"103.grid.header.url", "URL"
"103.grid.header.alias", "Alias"
"103.grid.header.action", "Aktion"
"103.grid.header.action.edit", "Bearbeiten"
"103.grid.massaction.label.delete", "Löschen"
"103.grid.massaction.confirm", "Sind Sie sicher?"
"104.legend.package-information", "Paket Informationen"
"104.label.name", "Name"
"104.label.summary", "Zusammenfassung"
"104.title.summary", "Zusammenfassung"
"105.title.package", "Paket Informationen"
"105.label.package-information", "Paket Informationen"
"105.title.package-information", "Paket Informationen"
"106.label.update-package", "Paket aktualisieren"
"106.label.install-package", "Paket installieren"
"106.header.edit-package", "Paket '%s' bearbeiten"
"106.header.add-package", "Neues Paket hinzufügen"
"107.grid.header.name", "Name"
"107.grid.header.summary", "Zusammenfassung"
"107.grid.header.installed", "Installiert"
"107.grid.header.available", "Verfügbar"
"107.grid.header.state", "Status"
"107.grid.header.state.not-installed", "Nicht installiert"
"107.grid.header.state.installed", "Installiert"
"107.grid.header.state.updateable", "Aktualisierbar"
"107.grid.header.action", "Aktion"
"107.grid.header.action.info", "Informationen"
"107.grid.header.action.install", "Installieren"
"107.grid.header.action.uninstall", "Deinstallieren"
"107.grid.header.action.upgrade", "Aktualisieren"
"107.grid.massaction.label.delete", "Löschen"
"107.grid.massaction.confirm", "Sind Sie sicher?"
"108.header.manage-channels", "Channel verwalten [Shop-Version: %s - Model-Version: %s]"
"108.header.button.label.add-channel", "Neuen Channel hinzufügen"
"109.header.button.label.refresh", "Channel aktualisieren"
"200.error.channel-does-not-exists", "Channel kann nicht geladen werden"
"200.success.channel-saved", "Channel wurde erfolgreich gespeichert"
"200.error.channel-id-not-in-request", "Es wurde keine Channel ID übergeben"
"200.success.channel-deleted", "Channel wurde erfolgreich gelöscht"
"200.error.select-channel", "Bitte wählen sie wenigstens einen Channel"
"200.success.multi-channel-deleted", "Es wurde(n) insgesamt %s Channel(s) erfolgreich gelöscht"
"200.breadcrumb.manager", "Manager"
"200.breadcrumb.manager.channels", "Channels"
"200.success.channel-discovered", "Der Channel %s wurde erfolgreich initialisiert"
"201.breadcrumb.manager", "Manager"
"201.breadcrumb.manager.packages", "Pakete"
"201.error.channel-does-not-exists", "Channel %s ist nicht angelegt"
"201.error.channel-no-rest", "%s stellt keine REST Dienste zur Verfügung"
"201.error.no-package-list", "Die Liste mit Paketen konnte nicht vom Channel Server geladen werden. Bitte versuchen Sie es erneut. (Debug Informationen: %s)"
"201.error.package-no-releases", "Paket %s hat keine Releases"
"201.error.invalid-command", "Beim Ausführen des Befehls '%s' ist ein Fehler aufgetreten, bitte aktivieren Sie den <a href="%s">Debug-Modus</a> für eine detaillierte Fehlerausgabe!"
"201.success.package-update", "Paket %s wurde erfolgreich aktualisiert"
"201.success.channel-update", "Channel %s wurde erfolgreich aktualisiert"
"201.success.package-install", "Paket %s wurde erfolgreich installiert"
"201.success.package-uninstall", "Paket %s wurde erfolgreich deinstalliert"
"201.success.package-upgrade", "Paket %s wurde erfolgreich aktualisiert"
"201.error.package-does-not-exists", "Paket kann nicht geladen werden"
"201.success.package-deleted", "Paket wurde erfolgreich gelöscht"
"201.success.multi-package-deleted", "Es wurde(n) insgesamt %s Paket(e) erfolgreich gelöscht"
"201.error.select-package", "Bitte wählen sie wenigstens ein Paket"
"201.error.package-no-id", "Keine id angegeben"
"500.header.manager-packages", "Pakete verwalten [Shop-Version: %s - Model-Version: %s]"